Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
Benefitfocus,BNFT,11.46,5.72%,369.71M,258.66K,,
Waitr,WTRH,3.4,7.94%,369.35M,2.21M,,
Sierra Wireless,SWIR,9.9,-0.90%,361.95M,302.24K,,
MTS Systems,MTSC,18.67,-2.40%,359.89M,123.77K,,
Grid Dynamics,GDYN,6.8,1.04%,345.72M,188.73K,,
Shotspotter,SSTI,29.82,-0.27%,340.61M,81.65K,,
Cambium Networks,CMBM,16.46,1.23%,330.85M,66.17K,,
Canaan,CAN,2,6.95%,329.02M,3.11M,,
Comtech,CMTL,13.2,-0.90%,326.46M,295.30K,,
Zix,ZIXI,5.69,5.18%,324.52M,511.00K,,
MTBC Pref,MTBCP,25.6,0.13%,323.70M,20.83K,,
Akoustis Tech,AKTS,8.33,3.61%,318.69M,410.94K,,
Gilat,GILT,5.63,0%,314.56M,57.42K,,
Casa Systems,CASA,3.78,-0.53%,314.25M,202.72K,,
Alpha & Omega Semiconductor,AOSL,12.3,3.36%,311.28M,141.98K,,
American Superconductor,AMSC,13.38,11.41%,308.21M,554.59K,,
DSP Group,DSPG,12.75,0.79%,299.82M,96.04K,,
Allot Communications,ALLT,8.68,-0.69%,294.06M,159.45K,,
Wanda Sports,WSG,1.83,-1.08%,281.58M,9.82K,,
Kimball Electronics,KE,11.2,-1.06%,279.86M,60.26K,,
Fronteo,FTEO,5.59,0%,277.87M,0,,
Powell Industries,POWL,23.77,-0.08%,276.08M,41.67K,,
Microvision,MVIS,1.91,4.37%,274.77M,4.14M,,
Clearfield,CLFD,19.03,1.66%,259.70M,56.44K,,
IBEX,IBEX,13.75,26.61%,259.35M,544.31K,,
Nanthealth,NH,2.27,6.07%,252.02M,179.11K,,
CalAmp,CAMP,7.33,-7.10%,251.89M,687.36K,,
Wrap Tech,WRTC,6.86,2.24%,250.72M,750.11K,,
Turtle Beach,HEAR,16.87,1.20%,246.21M,301.35K,,
Applied Opt,AAOI,10.73,2.98%,244.36M,275.50K,,
Pintec Tech,PT,0.82,-5.19%,242.26M,44.03K,,
NVE Corporation,NVEC,50,1.24%,241.75M,15.85K,,
Liquidity Services,LQDT,6.82,0.15%,232.19M,190.24K,,
